,dates,home_vs_away,venue,competition,final_score,goal_events,card_events
32,Op zaterdag 18 februari,Speelde Feyenoord thuis tegen AZ,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 2-1 van AZ,"J. Dilrosun scoorde voor Feyenoord in de 1e helft in minuut 17, A. Jahanbakhsh scoorde voor Feyenoord in de 1e helft in minuut 47, M. Pedersen scoorde voor Feyenoord in de 2e helft in minuut 90","P. Hatzidiakos van AZ kreeg in de 1e helft in minuut 23 een gele kaart, M. Wieffer van Feyenoord kreeg in de 1e helft in minuut 28 een gele kaart, V. Pavlidis van AZ kreeg in de 1e helft in minuut 36 een gele kaart, S. Giménez van Feyenoord kreeg in de 1e helft in minuut 38 een gele kaart, O. Idrissi van Feyenoord kreeg in de 1e helft in minuut 50 een gele kaart, W. Goes van AZ kreeg in de 2e helft in minuut 75 een gele kaart"
33,Op zaterdag 18 februari,Speelde FC Volendam thuis tegen Vitesse,in Kras Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Volendam wint thuis met 2-0 van Vitesse,"D. van Mieghem scoorde voor Volendam in de 1e helft in minuut 12, D. van Mieghem scoorde voor Volendam in de 2e helft in minuut 68",J. Flint van Volendam kreeg in de 2e helft in minuut 55 een gele kaart
34,Op zaterdag 18 februari,Speelde FC Groningen thuis tegen FC Emmen,in Euroborg,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Groningen en FC Emmen hebben gelijk gespeeld met 1-1,"R. Pepi scoorde voor Groningen in de 1e helft in minuut 12, M. Araujo scoorde voor Emmen in de 1e helft in minuut 14","M. te Wierik van Emmen kreeg in de 1e helft in minuut 41 een gele kaart, R. Oratmangoen van Groningen kreeg in de 2e helft in minuut 68 een gele kaart, M. te Wierik van Emmen kreeg in de 2e helft in minuut 73 een gele kaart, L. Bernadou van Emmen kreeg in de 2e helft in minuut 83 een gele kaart, J. Vlak van Emmen kreeg in de 2e helft in minuut 92 een gele kaart"
35,Op vrijdag 17 februari,Speelde RKC Waalwijk thuis tegen Fortuna Sittard,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",RKC Waalwijk wint thuis met 3-1 van Fortuna Sittard,"B. Yılmaz scoorde voor Fortuna Sittard in de 2e helft in minuut 49, M. Kramer scoorde voor RKC Waalwijk in de 2e helft in minuut 76, Julen Lobete scoorde voor RKC Waalwijk in de 2e helft in minuut 86, F. Jozefzoon scoorde voor RKC Waalwijk in de 2e helft in minuut 90",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
36,Op zondag 12 februari,Speelde Vitesse thuis tegen FC Utrecht,in GelreDome,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Vitesse wint thuis met 2-0 van FC Utrecht,"M. Manhoef scoorde voor Vitesse in de 2e helft in minuut 63, M. Wittek scoorde voor Vitesse in de 2e helft in minuut 94","D. Oroz van Vitesse kreeg in de 1e helft in minuut 40 een gele kaart, C. Arcus van Vitesse kreeg in de 2e helft in minuut 51 een rode kaart, C. Bozdoğan van Utrecht kreeg in de 2e helft in minuut 53 een gele kaart, J. Toornstra van Utrecht kreeg in de 2e helft in minuut 84 een gele kaart"
37,Op zondag 12 februari,Speelde FC Twente thuis tegen FC Volendam,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",FC Twente wint thuis met 3-0 van FC Volendam,"J. Brenet scoorde voor Twente in de 1e helft in minuut 16, V. Černý scoorde voor Twente in de 1e helft in minuut 17, M. Hilgers scoorde voor Twente in de 1e helft in minuut 20",R. Pröpper van Twente kreeg in de 2e helft in minuut 88 een gele kaart
38,Op zondag 12 februari,Speelde Ajax thuis tegen RKC Waalwijk,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 3-1 van RKC Waalwijk,"M. Seuntjens scoorde voor RKC Waalwijk in de 1e helft in minuut 17, B. Brobbey scoorde voor Ajax in de 2e helft in minuut 50, J. Timber scoorde voor Ajax in de 2e helft in minuut 78, M. Kudus scoorde voor Ajax in de 2e helft in minuut 81",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
39,Op zondag 12 februari,Speelde sc Heerenveen thuis tegen Feyenoord,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 1-2 van sc Heerenveen,"L. Geertruida scoorde voor Feyenoord in de 1e helft in minuut 22, S. Giménez scoorde voor Feyenoord in de 1e helft in minuut 34, S. van Ottele scoorde voor Heerenveen in de 2e helft in minuut 75","O. Kökçü van Feyenoord kreeg in de 2e helft in minuut 79 een gele kaart, M. Köhlert van Heerenveen kreeg in de 2e helft in minuut 89 een gele kaart"
40,Op zondag 12 februari,Speelde Sparta Rotterdam thuis tegen Go Ahead Eagles,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam wint thuis met 2-1 van Go Ahead Eagles,"V. van Crooij scoorde voor Sparta Rotterdam in de 1e helft in minuut 4, F. Stokkers scoorde voor Go Ahead Eagles in de 2e helft in minuut 53, T. Lauritsen scoorde voor Sparta Rotterdam in de 2e helft in minuut 58","J. de Guzmán van Sparta Rotterdam kreeg in de 1e helft in minuut 26 een gele kaart, J. Amofa van Go Ahead Eagles kreeg in de 2e helft in minuut 49 een gele kaart, I. Lidberg van Go Ahead Eagles kreeg in de 2e helft in minuut 51 een gele kaart, J. Idzes van Go Ahead Eagles kreeg in de 2e helft in minuut 93 een gele kaart"
41,Op zaterdag 11 februari,Speelde PSV thuis tegen FC Groningen,in Philips Stadion,"De wedstrijd werd gespeeld in de 2022-23 Eredivisie, Regulier seizoen competitie",PSV wint thuis met 6-0 van FC Groningen,"L. de Jong scoorde voor PSV in de 1e helft in minuut 27, X. Simons scoorde voor PSV in de 2e helft in minuut 46, J. Branthwaite scoorde voor PSV in de 2e helft in minuut 69, J. Bakayoko scoorde voor PSV in de 2e helft in minuut 73, Fábio Silva scoorde voor PSV in de 2e helft in minuut 84, G. Til scoorde voor PSV in de 2e helft in minuut 88",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
