;id;name;startDate;endDate
90;13jfgkpc4zgwpc8sufxq0y51w;2021/2022;2021-09-10Z;2022-05-30Z
91;ce5pf2txlqczhkre8q2nsksno;2020/2021;2020-11-28Z;2021-07-17Z
92;3608qy20o4jdrkmny5u426hyi;2019/2020;2019-08-09Z;2020-11-27Z
93;8h1ynx5c5oziebh4m2w463ucq;2018/2019;2018-11-27Z;2019-05-31Z
94;5uiu2t59cvp7esi3rys5hoh9m;2018;2018-02-10Z;2018-11-09Z
95;bdtlas244pkossfqopubajzl5;2017;2017-02-10Z;2017-11-04Z
96;2ai3kvx3qgoi57l65wadc32sp;2016;2016-02-12Z;2016-10-23Z
97;6iq38f89ujs56fps1qsku7dh;2015;2015-02-13Z;2015-11-08Z
98;apvxc94bueznxkk1caq0lqnsg;2014;2014-02-07Z;2014-11-01Z
99;9wszyfhnp8aths6v3l69m5hyj;2013;2013-02-15Z;2013-11-10Z
100;8bhbrh3ju4hbbpomp8qkh3vth;2012;2012-02-18Z;2012-11-17Z
101;6g5ukh61z6prvh2q7x77e8b85;2011;2011-01-28Z;2011-11-12Z
102;5d2gpm0zn1ya7y9mgcgt2e4lx;2010;2010-02-12Z;2010-11-13Z
103;9uorz1vlrq32xnxnxp95onkr9;2009;2009-01-30Z;2009-11-07Z
104;7zm6xxoa68tdel6kmju4k2zmd;2008;2008-02-15Z;2008-11-16Z
105;3fwkdawqz633l67a6qj6uvljp;2007;2007-01-26Z;2007-11-09Z
106;70sdedqgmv7nzugi8c93n8clx;2006;2006-02-17Z;2006-11-11Z
107;24clhnhv42o1t0mpa4fp1d2vp;2005;2005-01-28Z;2005-11-12Z
108;4x92nbwr0f7c0eofqz1jvtwr8;2022/2023;2022-09-09Z;2023-06-01Z
109;72i9g3cxzcet0qpsai2l1mkgk;2021/2022;2021-09-10Z;2022-05-20Z
110;6u3rl8frozv3hpok4kjdmpzo;2020/2021;2020-11-27Z;2021-07-10Z
111;9a6u1f9vi3q3u9vt1zy9ivre2;2019/2020;2019-08-09Z;2020-10-25Z
112;c9htdix0zh2a8n9quh18gtlka;2018/2019;2018-11-27Z;2019-05-26Z
113;83rw2tn2ga9kccr91ps6lq0kq;2018;2018-02-09Z;2018-12-02Z
114;3quaqxyr9z5lxjqd2hivsi1nt;2017;2017-02-10Z;2017-11-25Z
115;csawzdn2j0bogyfqk7kfwfe21;2016;2016-02-12Z;2016-11-06Z
116;ciydamb6rvw4polsdyv7ugpux;2015;2015-02-13Z;2015-11-29Z
117;dfz77sa5x7oj8xvkmfirqown8;2014;2014-02-07Z;2014-12-06Z
118;5pfssc5kmva18dou0p9b4ttmo;2013;2013-02-15Z;2013-11-30Z
119;8ejl93v9yxtlixv34vbff90b9;2012;2012-02-18Z;2012-11-25Z
120;6gbgm5e17t81h5kjpa17bkyxh;2011;2011-01-28Z;2011-12-04Z
121;2wr89il7vpbqtrut14nro9xat;2010;2010-02-12Z;2010-12-04Z
122;7qf47abdplegahbx3juku9979;2009;2009-01-30Z;2009-12-05Z
123;9s8ksynzenaw075jenphlhj9x;2008;2008-02-16Z;2008-11-22Z
124;e0zojjr7isvl446qn2bpo51w5;2007;2007-01-27Z;2007-11-24Z
125;7r842vncis84r5hnlg5n14cno;2023/2024;2023-09-10Z;2023-09-10Z
126;53xu2v85ntbu88y1p0f0gysr8;2022/2023;2022-09-10Z;2022-09-10Z
127;7vtjxrions6jhodjfnpn6xn9w;2021/2022;2021-12-22Z;2021-12-22Z
128;dsw5whrvjthmcwqceqzilphm2;2020/2021;2021-05-28Z;2021-05-28Z
129;6elec9kt3o5fl6bz4ponjph7u;2019/2020;2020-02-14Z;2020-02-14Z
130;3hmsghjuz77j1p8tc1e2c29uy;2018/2019;2019-03-29Z;2019-03-29Z
131;bqcs9or3ly18jcaufzesksv6x;2018;2018-02-24Z;2018-02-24Z
132;18t3amwy5vn4267u9dg261y3t;2017;2017-02-18Z;2017-02-18Z
133;3bil2v84hk0dulawm70tt8lpl;2016;2016-02-20Z;2016-02-20Z
134;ar0sdkow11p06re93uxfjgjbp;2015;2015-02-21Z;2015-02-21Z
135;b1lyokame5vrvxhsf2ki0x0bc;2014;2014-02-20Z;2014-02-20Z
136;e1gdxmyxsvix1pa1pvakkz5x7;2013;2013-02-23Z;2013-02-23Z
137;43dl8wvfcr6n6jdrmpc8sxxp1;2012;2012-02-25Z;2012-02-25Z
138;4nhx7dy5sjmw3gol8ukg253v9;2011;2011-01-29Z;2011-01-29Z
139;dhpv3rr1ukalp0hevh3hlmz85;2010;2010-02-21Z;2010-02-21Z
140;9urr69i0wlg5j51c3wkqlkrf9;2009;2009-02-06Z;2009-02-06Z
141;byzna8gnamc6k51jvedrn3yl1;2008;2008-02-23Z;2008-02-23Z
142;4r05h0s65roim0n84xwj96l90;2023 Algeria;2023-04-29Z;2023-05-19Z
143;efodbzrrru1h3tk293bhyjgx6;2021 Morocco;2021-03-13Z;2021-03-31Z
144;a5ooxs8pzbrey5eglmz4lcyy1;2019 Tanzania;2018-07-19Z;2019-04-28Z
145;5ujmyp80epbc1vh7oldovkq95;2017 Gabon;2016-06-24Z;2017-05-28Z
146;akmbgeg02alve9fk00j91wu4t;2015 Niger;2014-06-14Z;2015-03-01Z
147;4j09vclkl5xtkdldqa4ltvjdh;2013 Morocco;2012-09-07Z;2013-04-27Z
148;f1tw7s6bhqe1d1t5zcrkkaz85;2011 Rwanda;2010-04-09Z;2011-01-22Z
149;496tny3hp4cwcl35s31hgcnis;2023 Morocco;2023-06-18Z;2023-06-30Z
150;eufq45eerj2halg1kqwrwgj55;2019 Egypt;2019-11-08Z;2019-11-22Z
151;akj82qpy1qxemalgtndy8hasp;2015 Senegal;2015-11-28Z;2015-12-12Z
152;9e41qy4u4vvpe35l9vgeixc7o;2024;2024-07-02Z;2024-07-23Z
153;692venjygv9f0w9m2xbtkn59m;2022 Morocco;2022-07-02Z;2022-07-23Z
154;2bs7brtrphvbfibe8k3cpnucq;2020;2020-04-06Z;2020-04-14Z
155;7pj2b56i6512eyyr7sakeago9;2018 Ghana;2018-04-04Z;2018-12-01Z
156;1krmamv2hjqtwlo83adwtt9zp;2016 Cameroon;2016-03-04Z;2016-12-03Z
157;9szjra7awp3jp730d07cgn241;2014 Namibia;2014-02-05Z;2014-10-25Z
158;5ith9eyxrrda9iw1ywxgttz9x;2012 Equatorial Guinea;2012-01-15Z;2012-11-11Z
159;d1qyp8zx3dipmle3ash48cz4l;2010 South Africa;2010-03-05Z;2010-11-14Z
160;9rm5333x4ecx79d5h8ghuxwid;2008 Equatorial Guinea;2007-11-30Z;2008-11-29Z
161;9oywz7d2onlcoa1f8efzldsyd;2006 Nigeria;2006-02-19Z;2006-11-11Z
162;3rsq3xfqnkyf3n3j8pp6irt3o;2023;2023-10-30Z;2023-11-13Z
163;10o9cyjc7pgq1rksmy8z3iwwk;2022;2022-10-30Z;2022-11-13Z
164;8tjzoekkaj1xa4pbi5gzxzlsk;2021;2021-11-05Z;2021-11-19Z
165;9ghm6cuz03lcz4fg8jl3n1uz8;2026;2023-09-04Z;2026-03-29Z
166;9mfeyhdrzoazvd8m6h0qhqnhm;2022 Qatar;2019-09-04Z;2022-03-29Z
167;179akp03f2s0q483rai409f4l;2018 Russia;2015-10-07Z;2017-11-14Z
168;c0vj1m3jnkap7sh91006l9m1h;2014 Brazil;2011-11-11Z;2013-11-19Z
169;crwhezug84g75s6q7pm2bxt5h;2010 South Africa;2007-10-14Z;2009-11-18Z
170;7pa5bftvilzlb29g7lf3k1p05;2006 Germany;2003-10-11Z;2005-10-09Z
171;efpr09p1zokijvlfzvsudfg7p;2002 Korea Rep/Japan;2000-04-07Z;2001-07-29Z
172;768a9q8ok9nob3c7c1gmh17f9;1934 Italy;1934-03-16Z;1934-04-06Z
173;3jbeox27utcbstfx7q6uh9tec;2022;2022-08-01Z;2022-08-14Z
174;dyiuizurbcqi4mw1fz07pewru;2021;2021-08-01Z;2021-08-14Z
175;e75wuh0ugukxxqe0xi26v299m;2019;2019-07-06Z;2019-07-21Z
176;7gvy62k5phytt555tzgm3m92i;2018;2018-06-29Z;2018-07-13Z
177;1kacqag1gtcv3e8avenqw02s4;2023;2023-07-18Z;2023-07-30Z
178;3wt31ou0jcsooi1o6v8p1m0ru;2021 Ethiopia;2021-07-18Z;2021-07-30Z
179;e3622795mlnntb9bsey46x5yi;2019 Uganda;2019-12-07Z;2019-12-19Z
180;3y4ohatszvpye4m6pas21aktl;2017 Kenya;2017-12-03Z;2017-12-17Z
181;tvot4nmbj3x5uxcsgmem2eol;2015 Ethiopia;2015-11-21Z;2015-12-05Z
182;ddy43t7bhq5bz8d1lesap8231;2013 Kenya;2013-11-27Z;2013-12-12Z
183;anr7oosls1y62mrvq03oehlg5;2012 Uganda;2012-11-24Z;2012-12-08Z
184;7797ckjqbfwx7t8t84ns9889h;2011 Tanzania;2011-11-25Z;2011-12-10Z
185;2vqm6d191zke2qq133gnsnljp;2010 Tanzania;2010-11-27Z;2010-12-12Z
186;24o1nu9wrhuydacgfh6wqa904;2024;2024-10-28Z;2024-11-11Z
187;3fy2635vdsldyezh8z3iiz3f8;2022;2022-10-28Z;2022-11-11Z
188;7wqzi6a53d6ha11xmkwj2fxn8;2020;2020-11-22Z;2020-12-02Z
189;btv1mppm7kf0xmk8gm9omiyok;2023;2024-06-01Z;2024-06-11Z
190;akvgnok8ya8b1vy70u2s2yrmy;2022 Uganda;2022-06-01Z;2022-06-11Z
191;3skqdnu1kl0mhl28qk5fdhisq;2019 Tanzania;2019-11-16Z;2019-11-25Z
192;buhce3crtradt4gjvgx0o6dbd;2018 Rwanda;2018-07-19Z;2018-07-27Z
193;b5ymhz6xazzjztjlxtlfi0a21;2016 Uganda;2016-09-11Z;2016-09-20Z
194;1877yx8t4sa2q3ckwo67z8ahg;2023;2023-07-05Z;2023-07-17Z
195;5ah590z0ce1532526xnvxg45w;2022 South Africa;2022-07-05Z;2022-07-17Z
196;6oey3wluqg6k9s1syi7locrje;2021 South Africa;2021-07-06Z;2021-07-18Z
197;1ooxdobeqjz3oyg4etb23yd7u;2019 South Africa;2019-05-25Z;2019-06-08Z
198;5sctel25azentcl6xal9wrwq2;2018 South Africa;2018-05-27Z;2018-06-09Z
199;5rfzt1qhiuxpd73u1etzwj9ey;2017 South Africa;2017-06-25Z;2017-07-09Z
200;7ct695vx3udw1bke58iqbtlp0;2023;2023-10-07Z;2023-10-16Z
201;21jh0p7yknf1d3oykfnoh3jf8;2022 Eswatini;2022-10-07Z;2022-10-16Z
202;erpcr0wkp8ds76529b6tgt84q;2020 South Africa;2020-12-03Z;2020-12-13Z
203;a91l3xn70hzady8775ls9673e;2019 Zambia;2019-12-04Z;2019-12-14Z
204;9py8sfityqt8bqnvmvpswcx2i;2018 Zambia;2018-12-02Z;2018-12-13Z
205;3t6ctsipcxfhodqtlv3zwxuy;2017 Zambia;2017-12-06Z;2017-12-16Z
206;d2v460rtim65fbcv2zpnvzfv8;2023;2023-08-31Z;2023-09-11Z
207;c0que12d2q5chh4u3j5kh5wr8;2022 South Africa;2022-08-31Z;2022-09-11Z
208;a5gpzk6bcui8mfn0406qv5yqc;2021 South Africa;2021-09-28Z;2021-10-09Z
209;84jr8802tldk9gau9kxfe8k8a;2020 South Africa;2020-11-03Z;2020-11-14Z
210;f49d7j3pkkya0pzx1xqvywy22;2019 South Africa;2019-07-31Z;2019-08-11Z
211;2ib7sncaypj969jz7om83trai;2018 South Africa;2018-09-12Z;2018-09-22Z
212;8ef0imn5iqkaa3i2hhtdirwbu;2022;2022-08-01Z;2022-08-11Z
213;ajune0t3yirxunbicchek9s2y;2019 South Africa;2019-08-01Z;2019-08-11Z
214;41ddjtstssaawhgbef147za39;2011 Egypt;2011-01-05Z;2011-01-17Z
215;b4d80ywn5rs1k4p79x4vy3z3e;2019;2019-01-22Z;2019-01-27Z
216;6himz88qve2pos4p6nc6homsq;2018;2018-06-03Z;2018-06-10Z
217;71cwbe7umna0mt2p97rjg8kk4;2024;2024-01-13Z;2024-06-05Z
218;axq2z0fcb0phdbt3tvzegnlsk;2022 India;2022-01-13Z;2022-06-05Z
219;6oepzxamtulc2vpg23lwj9x0q;2020 India;2020-01-10Z;2020-11-20Z
220;8h7ovxy1x956rnshn7ifd1a3u;2018 Uruguay;2017-10-14Z;2018-02-18Z
221;1mdt1gwk9vg957240ajbzl3x0;2024;2023-08-05Z;2024-03-27Z
222;61i7583i3prv9b147rqrlyyvo;2022;2021-08-05Z;2022-03-27Z
223;4rczpd31k8ray7tdszi34r1wq;2020/2021;2020-01-17Z;2020-09-11Z
224;a3cipn7hyqtwkxa6gq3m606w9;2017/2018;2017-07-21Z;2018-01-27Z
225;d664msldi6mhfi4o2on9mm9qt;2015/2016;2015-05-02Z;2015-11-08Z
226;7ciecj2ac33h9c8wht5go35pb;2013/2014;2013-09-14Z;2014-01-26Z
227;3ok4rswggutp60q5gyalzgtwq;2024;2024-02-11Z;2024-02-18Z
228;3y314hzzszvdzofpz5w6o65pm;2020 Tunisia;2020-02-14Z;2020-02-22Z
229;32ctxivubopx22t15ozoo9ppm;2021;2021-02-18Z;2021-02-28Z
230;87ptpph93idrkh1ivd8uf4ga2;2020;2020-02-18Z;2020-02-28Z
231;4ng7uflq6ks6yla80kwtsel4a;2021;2022-09-28Z;2022-10-13Z
232;dvhan28yqqz4ft6xwfnkjgbqi;2019 Senegal;2019-09-28Z;2019-10-13Z
233;bro0c4t7ft104ggor3t0nyi2;2017 Ghana;2017-09-09Z;2017-09-24Z
234;42lczzc4dotaf239ilczrihyi;2024;2023-04-01Z;2024-03-10Z
235;68m4lugmqim3xdslbezifuyg9;2020 Tokyo;2019-04-01Z;2020-03-10Z
236;d0640dfjmvkp7voz0qstd7zl5;2016 Rio de Janeiro;2015-04-24Z;2015-10-18Z
237;8t3qmxc3niaw22eyhb66dsz6c;2022/2023;2022-09-03Z;2023-05-23Z
238;bct29qi5prfpd1p8ehgtrxnv8;2021/2022;2021-09-11Z;2022-05-23Z
239;6uyk9ba7z7iv59ue2165fdd04;2020/2021;2020-11-04Z;2021-05-26Z
240;5ej9a6634a8u5mlnegl2wb14a;2019/2020;2019-09-14Z;2020-07-29Z
241;cx628vji8rrviep4q8mo56kiy;2018/2019;2018-09-08Z;2019-05-23Z
242;bdswib8vb3i36jhoxy6jef84p;2017/2018;2017-09-16Z;2018-05-16Z
243;71a1vw63m8e2q0vqrpkl7638p;2016/2017;2016-09-24Z;2017-05-26Z
244;et4oelfs4xi9hi1y3obl6gjjd;2015/2016;2015-09-12Z;2016-05-19Z
245;byqj8og4srx4c9tz1rq2v780a;2014/2015;2014-09-27Z;2015-05-23Z
246;b8tkhbb4463ptbbrronbwfyig;2013/2014;2013-08-31Z;2014-05-10Z
247;abntb2409zix0c7fuvlg96wut;2012/2013;2012-09-01Z;2013-05-12Z
248;4jd4pre7ipx2brajhqtxi76xh;2011/2012;2011-09-10Z;2012-05-12Z
249;e0wldlcfoyq5y4hjrcx1uwrf9;2010/2011;2010-09-11Z;2011-05-16Z
250;6yw1dnqnzeufdf3ntgsxarowl;2009/2010;2009-08-29Z;2010-05-15Z
251;42zx6n7a1luujvqbxg1r0vnit;2008/2009;2008-08-30Z;2009-05-16Z
252;9o6x76ya2y7qvzt37r67e93o5;2007/2008;2007-09-15Z;2008-05-18Z
253;33m0s2ql9dxlad21zpyxkvuvo;2022/2023;2022-10-01Z;2023-05-08Z
254;3s6pcntfnx0p16ux6zw7yo3kk;2021/2022;2021-09-18Z;2022-05-08Z
255;brl5zw4dqgsjbzciyuhly7jtg;2020/2021;2020-11-04Z;2021-05-31Z
256;biwp1n8i647ula8s7li483nmy;2019/2020;2019-09-28Z;2020-07-30Z
257;4wv0m9k8m27acpu7gpi9il84q;2018/2019;2018-09-16Z;2019-05-22Z
258;48p0sr1dxh88cemlh0lv9dujt;2017/2018;2017-10-01Z;2018-05-17Z
259;cgtip1m7z8epbs0uwutsfcnhl;2016/2017;2016-10-12Z;2017-05-17Z
260;1jj5yscfrm4d69p11d7fr0kx5;2015/2016;2015-09-27Z;2016-05-12Z
261;31nvinlr586gy10hwybcfx4np;2014/2015;2014-09-28Z;2015-05-23Z
262;derdor58yqsthoscol2yuu762;2013/2014;2013-09-22Z;2014-05-18Z
263;1ivwatj6p0gz20gbi46i3xuqd;2012/2013;2012-09-23Z;2013-05-01Z
264;ao6ah8lw9s5ijfbfonse3q1g5;2011/2012;2011-09-25Z;2012-05-17Z
265;3wke5t9ux8187crxz2zsxg6ad;2010/2011;2010-09-19Z;2011-05-16Z
266;clbdq190jqsb3ao9nxbax9jo5;2009/2010;2009-09-20Z;2010-05-20Z
267;y1bsbl8102behni6j9xyfj6d;2008/2009;2008-09-21Z;2009-05-10Z
268;1ixm93zb0j73dhpta4ws82j9w;2022/2023;2022-09-15Z;2023-06-01Z
269;6y1rcxe03vuez78p5jrhfjok4;2021/2022;2021-09-11Z;2022-05-31Z
270;6hlhgxlc0grhtdlwj5mlbqdjo;2020/2021;2020-11-01Z;2021-05-31Z
271;d99pluu0lv5gvhdq3gjw793sa;2019/2020;2019-09-04Z;2020-08-02Z
272;113svfix69qkf1z33qjr98bqi;2018/2019;2018-09-02Z;2019-06-02Z
273;9uplvrp783w18wzaegxl2jdre;2017/2018;2017-09-06Z;2018-05-27Z
274;8fwo5had9j1j9yo27bqnzq31l;2016/2017;2016-09-25Z;2017-05-31Z
275;3hp85xkr92ha9fk0qa7ajbso9;2015/2016;2015-08-27Z;2016-05-22Z
276;b6rir148r1dr3hisl42yvu6s5;2014/2015;2014-08-29Z;2015-05-29Z
277;5x8etir5hghvhiz2dmjwuitus;2013/2014;2013-09-25Z;2014-05-18Z
278;7vfnhh8d47jo1e86o40275wwl;2012/2013;2012-09-12Z;2013-05-17Z
279;8joy1jn1bjlg5px4qlx9fllud;2011/2012;2011-09-07Z;2012-05-17Z
280;9wjmvejf04km261qxh8bdmd3p;2010/2011;2010-09-22Z;2011-05-22Z
281;2h2ic20o9koyeml3z8h0fsnh1;2009/2010;2009-09-23Z;2010-05-09Z
282;bmt30pnifh08myylspsx14dzp;2008/2009;2008-11-17Z;2009-05-06Z
283;77cnzjm3hvbioccd147fhfo45;2007/2008;2007-11-27Z;2008-05-07Z
284;3bp8hy44x1xpvc6v3acz0ldqt;2006/2007;2006-10-25Z;2007-05-16Z
285;zohuwvzo4zqwvv1ex7ldx49h;2005/2006;2006-03-15Z;2006-05-10Z
286;cmbd2knkanukd90hg4jrqnyl1;2004/2005;2004-10-20Z;2005-05-11Z
287;95y9aj6t78zrru7wivuid7n6c;2022/2023;2022-09-24Z;2023-05-20Z
288;5gaw1vdx3csr3rt2cewj10nx0;2021/2022;2021-10-02Z;2022-05-19Z
289;ao91kxm46s1lqhc59ys0w09yi;2020/2021;2020-11-07Z;2021-05-23Z
290;bloptmfpyzob5zhi3moa4hroq;2019/2020;2019-10-12Z;2020-07-13Z
